,gamma,beta,rho,MaxVNE
0,1.0,1.0,0.1,0.9522870190428587
1,1.0,1.0,0.2,0.9526653714929186
2,1.0,1.0,0.3,0.9523438248142727
3,1.0,1.0,0.4,0.9522688212354958
4,1.0,1.0,0.5,0.9520227043576062
5,1.0,1.0,0.6,0.9523066703264338
6,1.0,1.0,0.7,0.952495711890475
7,1.0,1.0,0.8,0.9528270276725325
8,1.0,1.0,0.82,0.9525624792774868
9,1.0,1.0,0.84,0.9524034412565078
10,1.0,1.0,0.86,0.9523968102397061
11,1.0,1.0,0.88,0.9520515427818107
12,1.0,1.0,0.9,0.9524221183179106
13,1.0,1.0,0.92,0.9521853099478994
14,1.0,1.0,0.94,0.9521105844402867
15,1.0,1.0,0.96,0.9523104897312286
16,1.0,1.0,0.98,0.9528213071174916
17,1.0,1.0,0.99,0.9529325175028285
18,1.0,1.0,0.999,0.9523497816664739
19,1.0,1.0,0.9999,0.9525073970241914
20,1.0,1.0,1.0,0.9526333352719215
21,1.0,2.0,0.1,0.9519491258885403
22,1.0,2.0,0.2,0.9522352781832916
23,1.0,2.0,0.3,0.9524554282878506
24,1.0,2.0,0.4,0.9524225386129568
25,1.0,2.0,0.5,0.9520262702213595
26,1.0,2.0,0.6,0.9525415150790274
27,1.0,2.0,0.7,0.9523036288128602
28,1.0,2.0,0.8,0.9522182575465115
29,1.0,2.0,0.82,0.9525847255437453
30,1.0,2.0,0.84,0.9525913442970582
31,1.0,2.0,0.86,0.9526189838732722
32,1.0,2.0,0.88,0.9526649469713558
33,1.0,2.0,0.9,0.9526150707032938
34,1.0,2.0,0.92,0.9526834411083606
35,1.0,2.0,0.94,0.9523983992247803
36,1.0,2.0,0.96,0.9523039534693292
37,1.0,2.0,0.98,0.9527815303443854
38,1.0,2.0,0.99,0.9522860028267236
39,1.0,2.0,0.999,0.9524781100669473
40,1.0,2.0,0.9999,0.9514161543444064
41,1.0,2.0,1.0,0.9516768058128302
42,1.0,3.0,0.1,0.9523553879393402
43,1.0,3.0,0.2,0.9522906143033099
44,1.0,3.0,0.3,0.9529114745071621
45,1.0,3.0,0.4,0.9523403797308203
46,1.0,3.0,0.5,0.9525133799687179
47,1.0,3.0,0.6,0.9525978881295369
48,1.0,3.0,0.7,0.9522752462909863
49,1.0,3.0,0.8,0.9522502555999136
50,1.0,3.0,0.82,0.9529450688402609
51,1.0,3.0,0.84,0.9526728514136809
52,1.0,3.0,0.86,0.9526118058048131
53,1.0,3.0,0.88,0.9525894540959526
54,1.0,3.0,0.9,0.9527067790710514
55,1.0,3.0,0.92,0.9521938137911159
56,1.0,3.0,0.94,0.9522743280765302
57,1.0,3.0,0.96,0.9530949125857909
58,1.0,3.0,0.98,0.9520382085322334
59,1.0,3.0,0.99,0.9527843876678429
60,1.0,3.0,0.999,0.9511403492199121
61,1.0,3.0,0.9999,0.9522253552027448
62,1.0,3.0,1.0,0.9493719142492115
63,1.0,4.0,0.1,0.9522760468642085
64,1.0,4.0,0.2,0.9522179720703263
65,1.0,4.0,0.3,0.9529498684397087
66,1.0,4.0,0.4,0.9529249161112586
67,1.0,4.0,0.5,0.9528249018618186
68,1.0,4.0,0.6,0.9527167921010397
69,1.0,4.0,0.7,0.9525254222794721
70,1.0,4.0,0.8,0.9532076009300466
71,1.0,4.0,0.82,0.9528258214272007
72,1.0,4.0,0.84,0.9528643405401962
73,1.0,4.0,0.86,0.9526244989333541
74,1.0,4.0,0.88,0.9531374509512276
75,1.0,4.0,0.9,0.9521366193120259
76,1.0,4.0,0.92,0.9529607424989487
77,1.0,4.0,0.94,0.9526217622321306
78,1.0,4.0,0.96,0.9531801661501714
79,1.0,4.0,0.98,0.9529020464811708
80,1.0,4.0,0.99,0.9529472878549006
81,1.0,4.0,0.999,0.9514313558239768
82,1.0,4.0,0.9999,0.9499323035220377
83,1.0,4.0,1.0,0.9434726608952686
84,1.0,5.0,0.1,0.9518455672619721
85,1.0,5.0,0.2,0.9528564373829365
86,1.0,5.0,0.3,0.9526627997062211
87,1.0,5.0,0.4,0.9529682570716375
88,1.0,5.0,0.5,0.9520900325801068
89,1.0,5.0,0.6,0.9529407670712963
90,1.0,5.0,0.7,0.9526486413397749
91,1.0,5.0,0.8,0.9525130227154589
92,1.0,5.0,0.82,0.9526038563561334
93,1.0,5.0,0.84,0.9530551685768164
94,1.0,5.0,0.86,0.9525951565645572
95,1.0,5.0,0.88,0.9522858871675024
96,1.0,5.0,0.9,0.9516374064867105
97,1.0,5.0,0.92,0.9528482257912633
98,1.0,5.0,0.94,0.9528676732213133
99,1.0,5.0,0.96,0.951981246306336
100,1.0,5.0,0.98,0.9521308196862883
101,1.0,5.0,0.99,0.9514003153246732
102,1.0,5.0,0.999,0.9512590648378035
103,1.0,5.0,0.9999,0.9417134506906104
