,gamma,beta,rho,MaxVNE
0,1.0,1.0,0.1,0.941004755690655
1,1.0,1.0,0.2,0.9430616223862027
2,1.0,1.0,0.3,0.9415158854733409
3,1.0,1.0,0.4,0.9434398314731736
4,1.0,1.0,0.5,0.9428283815896159
5,1.0,1.0,0.6,0.9451527431563721
6,1.0,1.0,0.7,0.9416123187538772
7,1.0,1.0,0.8,0.9432592472395056
8,1.0,1.0,0.82,0.9417805031104722
9,1.0,1.0,0.84,0.9416063563648359
10,1.0,1.0,0.86,0.9410199909743441
11,1.0,1.0,0.88,0.9352671827534755
12,1.0,1.0,0.9,0.9377669853751994
13,1.0,1.0,0.92,0.9319799774412723
14,1.0,1.0,0.94,0.9231039244461092
15,1.0,1.0,0.96,0.9072571872410038
16,1.0,1.0,0.98,0.8647249726674753
17,1.0,1.0,0.99,0.8150442673933135
18,1.0,1.0,0.999,0.6639199235868417
19,1.0,1.0,0.9999,0.6412187367723022
20,1.0,1.0,1.0,0.6349561787441079
21,1.0,2.0,0.1,0.9459511842644474
22,1.0,2.0,0.2,0.9457615202168165
23,1.0,2.0,0.3,0.9471680326836746
24,1.0,2.0,0.4,0.946661107037206
25,1.0,2.0,0.5,0.9451137228671835
26,1.0,2.0,0.6,0.9436232264987189
27,1.0,2.0,0.7,0.9470766340776959
28,1.0,2.0,0.8,0.9441034756316872
29,1.0,2.0,0.82,0.9455839445016544
30,1.0,2.0,0.84,0.943596305174369
31,1.0,2.0,0.86,0.9436357838902487
32,1.0,2.0,0.88,0.9395102465414257
33,1.0,2.0,0.9,0.9386999554332215
34,1.0,2.0,0.92,0.9354049873197003
35,1.0,2.0,0.94,0.9276067452757777
36,1.0,2.0,0.96,0.9088762499026143
37,1.0,2.0,0.98,0.8762314040265302
38,1.0,2.0,0.99,0.8351615528950717
39,1.0,2.0,0.999,0.6951831366289078
40,1.0,2.0,0.9999,0.6637730380424472
41,1.0,2.0,1.0,0.6349561787441079
42,1.0,3.0,0.1,0.9446719592916436
43,1.0,3.0,0.2,0.9472837329633725
44,1.0,3.0,0.3,0.9482473083085895
45,1.0,3.0,0.4,0.9474921870827779
46,1.0,3.0,0.5,0.9480809394342213
47,1.0,3.0,0.6,0.9487657721436483
48,1.0,3.0,0.7,0.9475928597559546
49,1.0,3.0,0.8,0.9466928098282299
50,1.0,3.0,0.82,0.9462698294281584
51,1.0,3.0,0.84,0.9427565924016215
52,1.0,3.0,0.86,0.9438716225070384
53,1.0,3.0,0.88,0.944164727680192
54,1.0,3.0,0.9,0.9371151060078967
55,1.0,3.0,0.92,0.9354625662717567
56,1.0,3.0,0.94,0.9246404067204627
57,1.0,3.0,0.96,0.9164678650327143
58,1.0,3.0,0.98,0.8882467132245865
59,1.0,3.0,0.99,0.8410501884292123
60,1.0,3.0,0.999,0.7069005017425455
61,1.0,3.0,0.9999,0.6438372203263831
62,1.0,3.0,1.0,0.6349561787441079
63,1.0,4.0,0.1,0.9460535603349493
64,1.0,4.0,0.2,0.9482250025410678
65,1.0,4.0,0.3,0.9487843050569577
66,1.0,4.0,0.4,0.9484592500234854
67,1.0,4.0,0.5,0.9484768702724515
68,1.0,4.0,0.6,0.947718214599164
69,1.0,4.0,0.7,0.9486761802029007
70,1.0,4.0,0.8,0.9469361058973396
71,1.0,4.0,0.82,0.9459054850694651
72,1.0,4.0,0.84,0.9451643887004265
73,1.0,4.0,0.86,0.9431005594805817
74,1.0,4.0,0.88,0.9399998281750462
75,1.0,4.0,0.9,0.9393862733859399
76,1.0,4.0,0.92,0.937660301860368
77,1.0,4.0,0.94,0.9280379686262502
78,1.0,4.0,0.96,0.9162152350778416
79,1.0,4.0,0.98,0.8931795829732891
80,1.0,4.0,0.99,0.8647891404357212
81,1.0,4.0,0.999,0.7401932970580137
82,1.0,4.0,0.9999,0.6864274237997429
83,1.0,4.0,1.0,0.6349561787441079
84,1.0,5.0,0.1,0.9461755213827044
85,1.0,5.0,0.2,0.9479889429609774
86,1.0,5.0,0.3,0.9480955270593372
87,1.0,5.0,0.4,0.9484997316840287
88,1.0,5.0,0.5,0.9487371083811394
89,1.0,5.0,0.6,0.9487900108959327
90,1.0,5.0,0.7,0.9483121801924398
91,1.0,5.0,0.8,0.9473249850164005
92,1.0,5.0,0.82,0.9476656255897135
93,1.0,5.0,0.84,0.9461738802576954
94,1.0,5.0,0.86,0.9432843853131989
95,1.0,5.0,0.88,0.9445670061085757
96,1.0,5.0,0.9,0.9431974925901372
97,1.0,5.0,0.92,0.9387428509841556
98,1.0,5.0,0.94,0.9377645421216662
99,1.0,5.0,0.96,0.9251825460406848
100,1.0,5.0,0.98,0.9055855674410281
101,1.0,5.0,0.99,0.8801336492987242
102,1.0,5.0,0.999,0.8104945252523167
103,1.0,5.0,0.9999,0.7486168891881386
104,1.0,5.0,1.0,0.6349561787441079
105,1.0,6.0,0.1,0.9489729653248412
106,1.0,6.0,0.2,0.9482954688012316
107,1.0,6.0,0.3,0.9500660002712717
108,1.0,6.0,0.4,0.9507763866233224
109,1.0,6.0,0.5,0.9505281391822012
110,1.0,6.0,0.6,0.9506372662536717
111,1.0,6.0,0.7,0.9499743720521758
112,1.0,6.0,0.8,0.949264372154743
113,1.0,6.0,0.82,0.9495557417060224
114,1.0,6.0,0.84,0.9465435945336871
115,1.0,6.0,0.86,0.9480198467858961
116,1.0,6.0,0.88,0.9471596411026357
117,1.0,6.0,0.9,0.9442667259411014
118,1.0,6.0,0.92,0.9435693076254005
119,1.0,6.0,0.94,0.9413176963254662
120,1.0,6.0,0.96,0.9339174682290149
121,1.0,6.0,0.98,0.9230946212204056
122,1.0,6.0,0.99,0.8980695896080416
123,1.0,6.0,0.999,0.8272473325919245
124,1.0,6.0,0.9999,0.7690208409354952
125,1.0,6.0,1.0,0.6349561787441079
126,1.0,7.0,0.1,0.9484693661396185
127,1.0,7.0,0.2,0.9503843532227099
128,1.0,7.0,0.3,0.9506002685788816
129,1.0,7.0,0.4,0.9513276565953411
130,1.0,7.0,0.5,0.951438357355958
131,1.0,7.0,0.6,0.9511205248904582
132,1.0,7.0,0.7,0.9507798124796996
133,1.0,7.0,0.8,0.9498136407218924
134,1.0,7.0,0.82,0.9495015615785579
135,1.0,7.0,0.84,0.9498299954152213
136,1.0,7.0,0.86,0.9496002789637703
137,1.0,7.0,0.88,0.9480829872102698
138,1.0,7.0,0.9,0.9448629718663389
139,1.0,7.0,0.92,0.944174054931521
140,1.0,7.0,0.94,0.9438462220365095
141,1.0,7.0,0.96,0.9374344414075299
142,1.0,7.0,0.98,0.9258468878006284
143,1.0,7.0,0.99,0.9091765190747648
144,1.0,7.0,0.999,0.8462014494294129
145,1.0,7.0,0.9999,0.8142705285511941
146,1.0,7.0,1.0,0.6349561787441079
147,1.0,8.0,0.1,0.94932661586058
148,1.0,8.0,0.2,0.9505539983343512
149,1.0,8.0,0.3,0.9513160542073728
150,1.0,8.0,0.4,0.9511489959792471
151,1.0,8.0,0.5,0.9513761325332774
152,1.0,8.0,0.6,0.9513220997708418
153,1.0,8.0,0.7,0.9506813929361824
154,1.0,8.0,0.8,0.9502682809257195
155,1.0,8.0,0.82,0.9493155500047891
156,1.0,8.0,0.84,0.9488724669898245
157,1.0,8.0,0.86,0.9483340794590915
158,1.0,8.0,0.88,0.9467076757610556
159,1.0,8.0,0.9,0.9470695860935125
160,1.0,8.0,0.92,0.9450889500029487
161,1.0,8.0,0.94,0.9423205698808427
162,1.0,8.0,0.96,0.9408558319071777
163,1.0,8.0,0.98,0.9278826638915044
164,1.0,8.0,0.99,0.9115795054551094
165,1.0,8.0,0.999,0.8664669971472116
166,1.0,8.0,0.9999,0.838400112110298
167,1.0,8.0,1.0,0.6349561787441079
168,1.0,9.0,0.1,0.9479595119270776
169,1.0,9.0,0.2,0.9508013764142327
170,1.0,9.0,0.3,0.9519042295496424
171,1.0,9.0,0.4,0.9513489834703724
172,1.0,9.0,0.5,0.9522709622636301
173,1.0,9.0,0.6,0.951885802906894
174,1.0,9.0,0.7,0.9512668770737669
175,1.0,9.0,0.8,0.9513870703898369
176,1.0,9.0,0.82,0.950093563601089
177,1.0,9.0,0.84,0.9510511688833853
178,1.0,9.0,0.86,0.9479433923367934
179,1.0,9.0,0.88,0.9481105923959693
180,1.0,9.0,0.9,0.9475640830501336
181,1.0,9.0,0.92,0.9460757915620678
182,1.0,9.0,0.94,0.9461167226588554
183,1.0,9.0,0.96,0.9393142732390497
184,1.0,9.0,0.98,0.9313733240510454
185,1.0,9.0,0.99,0.9207073810555869
186,1.0,9.0,0.999,0.8737640847418274
187,1.0,9.0,0.9999,0.8549312266104673
188,1.0,9.0,1.0,0.6349561787441079
189,1.0,10.0,0.1,0.9501320171049257
190,1.0,10.0,0.2,0.9503400954275358
191,1.0,10.0,0.3,0.951462196564368
192,1.0,10.0,0.4,0.9521186643187262
193,1.0,10.0,0.5,0.9517848267219555
194,1.0,10.0,0.6,0.9520323106405083
195,1.0,10.0,0.7,0.9521127987536832
196,1.0,10.0,0.8,0.9515301999240156
197,1.0,10.0,0.82,0.9507828148473797
198,1.0,10.0,0.84,0.9483908705193779
199,1.0,10.0,0.86,0.9502242843921567
200,1.0,10.0,0.88,0.94825189321967
201,1.0,10.0,0.9,0.9471436510626214
202,1.0,10.0,0.92,0.9470260130163801
203,1.0,10.0,0.94,0.9396899967906193
204,1.0,10.0,0.96,0.9393932695068271
205,1.0,10.0,0.98,0.9335352047698678
206,1.0,10.0,0.99,0.9225590987908854
207,1.0,10.0,0.999,0.8937393196250798
208,1.0,10.0,0.9999,0.8656764214801831
209,1.0,10.0,1.0,0.7319265888651261
210,2.0,1.0,0.1,0.9418639018029661
211,2.0,1.0,0.2,0.9445572927239315
212,2.0,1.0,0.3,0.9417627783349717
213,2.0,1.0,0.4,0.9412111403799573
214,2.0,1.0,0.5,0.9423096637908701
215,2.0,1.0,0.6,0.9428619598643959
216,2.0,1.0,0.7,0.9430307887822732
217,2.0,1.0,0.8,0.9413942289554603
218,2.0,1.0,0.82,0.9396298279172994
219,2.0,1.0,0.84,0.939919546758723
220,2.0,1.0,0.86,0.9414777607810167
221,2.0,1.0,0.88,0.9362260671867749
222,2.0,1.0,0.9,0.9358280146078174
223,2.0,1.0,0.92,0.9253041670447832
224,2.0,1.0,0.94,0.9185246267258964
225,2.0,1.0,0.96,0.8971535929687964
226,2.0,1.0,0.98,0.8654926437861257
227,2.0,1.0,0.99,0.8008172147412345
228,2.0,1.0,0.999,0.6729758159958883
229,2.0,1.0,0.9999,0.6602383437411881
230,2.0,1.0,1.0,0.6576058075559994
231,2.0,2.0,0.1,0.9472510757564276
232,2.0,2.0,0.2,0.9461040699882214
233,2.0,2.0,0.3,0.9470646370269015
234,2.0,2.0,0.4,0.9449127906338911
235,2.0,2.0,0.5,0.9477737928735296
236,2.0,2.0,0.6,0.9476430588765616
237,2.0,2.0,0.7,0.9457196505521834
238,2.0,2.0,0.8,0.9462487323270848
239,2.0,2.0,0.82,0.9453549680992972
240,2.0,2.0,0.84,0.9440346857905757
241,2.0,2.0,0.86,0.9435305807307586
242,2.0,2.0,0.88,0.9397683404476497
243,2.0,2.0,0.9,0.9392527567722667
244,2.0,2.0,0.92,0.9345826890930448
245,2.0,2.0,0.94,0.9245267739326004
246,2.0,2.0,0.96,0.908880942394545
247,2.0,2.0,0.98,0.8782965917889968
248,2.0,2.0,0.99,0.8314673492639616
249,2.0,2.0,0.999,0.7012992059618872
250,2.0,2.0,0.9999,0.6631374898599796
251,2.0,2.0,1.0,0.6576058075559994
252,2.0,3.0,0.1,0.9462119687386074
253,2.0,3.0,0.2,0.947335304752221
254,2.0,3.0,0.3,0.9472539766957755
255,2.0,3.0,0.4,0.9478061643003449
256,2.0,3.0,0.5,0.9474247901912112
257,2.0,3.0,0.6,0.9473338350812034
258,2.0,3.0,0.7,0.9463121016270164
259,2.0,3.0,0.8,0.9463093258645071
260,2.0,3.0,0.82,0.9451047888231283
261,2.0,3.0,0.84,0.9451719434822654
262,2.0,3.0,0.86,0.9434884796427113
263,2.0,3.0,0.88,0.9421001630024234
264,2.0,3.0,0.9,0.936917243589223
265,2.0,3.0,0.92,0.9361037840398776
266,2.0,3.0,0.94,0.9298754674432288
267,2.0,3.0,0.96,0.9106236719320445
268,2.0,3.0,0.98,0.8809433195135671
269,2.0,3.0,0.99,0.8347653236278104
270,2.0,3.0,0.999,0.7171225543831783
271,2.0,3.0,0.9999,0.6628246082765409
272,2.0,3.0,1.0,0.6576058075559994
273,2.0,4.0,0.1,0.9460544429478819
274,2.0,4.0,0.2,0.9468317687937718
275,2.0,4.0,0.3,0.947727131780691
276,2.0,4.0,0.4,0.9470797621816512
277,2.0,4.0,0.5,0.9483072878525681
278,2.0,4.0,0.6,0.9479946402745587
279,2.0,4.0,0.7,0.9481557392201981
280,2.0,4.0,0.8,0.9470631731728704
281,2.0,4.0,0.82,0.9455907837258737
282,2.0,4.0,0.84,0.9449474922390192
283,2.0,4.0,0.86,0.9463786192735537
284,2.0,4.0,0.88,0.9423173639531673
285,2.0,4.0,0.9,0.9393505459520816
286,2.0,4.0,0.92,0.9322911257514662
287,2.0,4.0,0.94,0.9262034546752855
288,2.0,4.0,0.96,0.9138237262166242
289,2.0,4.0,0.98,0.8791178399573283
290,2.0,4.0,0.99,0.8270902415705376
291,2.0,4.0,0.999,0.7269848981836279
292,2.0,4.0,0.9999,0.7044670450314483
293,2.0,4.0,1.0,0.6576058075559994
294,2.0,5.0,0.1,0.9475737480943648
295,2.0,5.0,0.2,0.9482496226051892
296,2.0,5.0,0.3,0.950377203707616
297,2.0,5.0,0.4,0.9498570081560715
298,2.0,5.0,0.5,0.9500310423202333
299,2.0,5.0,0.6,0.9501704868147466
300,2.0,5.0,0.7,0.9492533529841973
301,2.0,5.0,0.8,0.9470208403034727
302,2.0,5.0,0.82,0.9472956392490196
303,2.0,5.0,0.84,0.948603047568244
304,2.0,5.0,0.86,0.9470783661883487
305,2.0,5.0,0.88,0.9418035803419958
306,2.0,5.0,0.9,0.9422131552794365
307,2.0,5.0,0.92,0.9399925662475722
308,2.0,5.0,0.94,0.9368412205224245
309,2.0,5.0,0.96,0.921393586757058
310,2.0,5.0,0.98,0.9037310831365274
311,2.0,5.0,0.99,0.8624053883959244
312,2.0,5.0,0.999,0.764551373216365
313,2.0,5.0,0.9999,0.6919057585482326
314,2.0,5.0,1.0,0.6576058075559994
315,2.0,6.0,0.1,0.9477418451268433
316,2.0,6.0,0.2,0.9487567600900146
317,2.0,6.0,0.3,0.9487512368830119
318,2.0,6.0,0.4,0.9501579754713125
