,gamma,beta,rho,MaxVNE
0,1.0,1.0,0.1,0.912042878384949
1,1.0,1.0,0.2,0.9060566567793934
2,1.0,1.0,0.3,0.9038208011992225
3,1.0,1.0,0.4,0.9096665964991186
4,1.0,1.0,0.5,0.903993519446514
5,1.0,1.0,0.6,0.9046536879713197
6,1.0,1.0,0.7,0.9037669664064932
7,1.0,1.0,0.8,0.9059326216555103
8,1.0,1.0,0.82,0.9029967391554468
9,1.0,1.0,0.84,0.9068022383558564
10,1.0,1.0,0.86,0.9025008870834735
11,1.0,1.0,0.88,0.9025474265599089
12,1.0,1.0,0.9,0.9052894161817064
13,1.0,1.0,0.92,0.9073233241996779
14,1.0,1.0,0.94,0.9112878377876592
15,1.0,1.0,0.96,0.9123155348189549
16,1.0,1.0,0.98,0.9229076555839222
17,1.0,1.0,0.99,0.9249629860987099
18,1.0,1.0,0.999,0.9290526252234904
19,1.0,1.0,0.9999,0.932572451426685
20,1.0,1.0,1.0,0.9284157955462881
21,1.0,2.0,0.1,0.8684319823263165
22,1.0,2.0,0.2,0.8663070401140979
23,1.0,2.0,0.3,0.8649724522566618
24,1.0,2.0,0.4,0.8634525312854151
25,1.0,2.0,0.5,0.8609867915739402
26,1.0,2.0,0.6,0.8625618602012456
27,1.0,2.0,0.7,0.8630175800583291
28,1.0,2.0,0.8,0.862926158736551
29,1.0,2.0,0.82,0.8679661340037057
30,1.0,2.0,0.84,0.8656581448130846
31,1.0,2.0,0.86,0.8645253588075417
32,1.0,2.0,0.88,0.8694058035641435
33,1.0,2.0,0.9,0.8639957310248366
34,1.0,2.0,0.92,0.8695159912328813
35,1.0,2.0,0.94,0.8721790194006535
36,1.0,2.0,0.96,0.8763595251476154
37,1.0,2.0,0.98,0.8851625336094917
38,1.0,2.0,0.99,0.8933471258037649
39,1.0,2.0,0.999,0.9049709242766407
40,1.0,2.0,0.9999,0.9060670145011499
41,1.0,2.0,1.0,0.90852210800695
42,1.0,3.0,0.1,0.8376218844530353
43,1.0,3.0,0.2,0.8420833223949382
44,1.0,3.0,0.3,0.8319138750306746
45,1.0,3.0,0.4,0.8332290005745795
46,1.0,3.0,0.5,0.8362452131756076
47,1.0,3.0,0.6,0.8359027141300538
48,1.0,3.0,0.7,0.8341068849771455
49,1.0,3.0,0.8,0.8416382481251833
50,1.0,3.0,0.82,0.8377768386867559
51,1.0,3.0,0.84,0.8422351480268788
52,1.0,3.0,0.86,0.8448282575817488
53,1.0,3.0,0.88,0.840917924646194
54,1.0,3.0,0.9,0.8460225718093558
55,1.0,3.0,0.92,0.8555132697015289
56,1.0,3.0,0.94,0.8483097946991415
57,1.0,3.0,0.96,0.8589730842638472
58,1.0,3.0,0.98,0.8648118986885566
59,1.0,3.0,0.99,0.8709428004146259
60,1.0,3.0,0.999,0.8784833686974385
61,1.0,3.0,0.9999,0.8777240743700235
62,1.0,3.0,1.0,0.8791920387231947
63,1.0,4.0,0.1,0.8233812823258098
64,1.0,4.0,0.2,0.821600850562219
65,1.0,4.0,0.3,0.8200790256130818
66,1.0,4.0,0.4,0.8219022352430986
67,1.0,4.0,0.5,0.8170903284206151
68,1.0,4.0,0.6,0.8243777921073692
69,1.0,4.0,0.7,0.8159891246613009
70,1.0,4.0,0.8,0.8188996521830895
71,1.0,4.0,0.82,0.8237564245565391
72,1.0,4.0,0.84,0.8237802058474861
73,1.0,4.0,0.86,0.8289826749612959
74,1.0,4.0,0.88,0.8301089176118749
75,1.0,4.0,0.9,0.8272378680640912
76,1.0,4.0,0.92,0.833294861126594
77,1.0,4.0,0.94,0.8368693404102578
78,1.0,4.0,0.96,0.8372392963980976
79,1.0,4.0,0.98,0.8482708737635335
80,1.0,4.0,0.99,0.852870925573897
81,1.0,4.0,0.999,0.862364797504043
82,1.0,4.0,0.9999,0.8715349833693654
83,1.0,4.0,1.0,0.8670563657393086
84,1.0,5.0,0.1,0.8025472408999309
85,1.0,5.0,0.2,0.7992256268922991
86,1.0,5.0,0.3,0.7979251814627119
87,1.0,5.0,0.4,0.7919375082705843
88,1.0,5.0,0.5,0.7948490783877492
89,1.0,5.0,0.6,0.7957653309397666
90,1.0,5.0,0.7,0.796587670741712
91,1.0,5.0,0.8,0.7965210235773167
92,1.0,5.0,0.82,0.7997379100757382
93,1.0,5.0,0.84,0.8025414690991491
94,1.0,5.0,0.86,0.8034477132814134
95,1.0,5.0,0.88,0.8061071746752484
96,1.0,5.0,0.9,0.8065119714394022
97,1.0,5.0,0.92,0.809615903191355
98,1.0,5.0,0.94,0.811822759428183
99,1.0,5.0,0.96,0.8175956829850061
100,1.0,5.0,0.98,0.8257979394322561
101,1.0,5.0,0.99,0.8325948633644894
102,1.0,5.0,0.999,0.8457677547961329
103,1.0,5.0,0.9999,0.847610102596703
104,1.0,5.0,1.0,0.8482452322710022
105,1.0,6.0,0.1,0.7672051908726539
106,1.0,6.0,0.2,0.7619045330740347
107,1.0,6.0,0.3,0.7589089667176566
108,1.0,6.0,0.4,0.7576284798160351
109,1.0,6.0,0.5,0.7545906657615722
110,1.0,6.0,0.6,0.7571240688024656
111,1.0,6.0,0.7,0.758106679444553
112,1.0,6.0,0.8,0.7704197156652334
113,1.0,6.0,0.82,0.7656049063047994
114,1.0,6.0,0.84,0.7776340688146044
115,1.0,6.0,0.86,0.7729781142204426
116,1.0,6.0,0.88,0.7750969995609006
117,1.0,6.0,0.9,0.7751144351724385
118,1.0,6.0,0.92,0.7838476434885915
119,1.0,6.0,0.94,0.7895828519569991
120,1.0,6.0,0.96,0.7949496741476022
121,1.0,6.0,0.98,0.8074191812432013
122,1.0,6.0,0.99,0.8129201651656113
123,1.0,6.0,0.999,0.8259730847406455
124,1.0,6.0,0.9999,0.8302142676737672
125,1.0,6.0,1.0,0.8279867304283082
126,1.0,7.0,0.1,0.7482419442283876
127,1.0,7.0,0.2,0.7405866163497405
128,1.0,7.0,0.3,0.7382382895365607
129,1.0,7.0,0.4,0.7387804059526868
130,1.0,7.0,0.5,0.7424077831762251
131,1.0,7.0,0.6,0.7402279245209253
132,1.0,7.0,0.7,0.7392308135244663
133,1.0,7.0,0.8,0.7476312819367
134,1.0,7.0,0.82,0.749653398650457
135,1.0,7.0,0.84,0.7534666301255576
136,1.0,7.0,0.86,0.7582685860511831
137,1.0,7.0,0.88,0.7577513070559838
138,1.0,7.0,0.9,0.7561984735428569
139,1.0,7.0,0.92,0.7651435551234533
140,1.0,7.0,0.94,0.7671252944928525
141,1.0,7.0,0.96,0.7709171037046787
142,1.0,7.0,0.98,0.7840526850532569
143,1.0,7.0,0.99,0.7899877511407268
144,1.0,7.0,0.999,0.80705552104668
145,1.0,7.0,0.9999,0.8088708518506539
146,1.0,7.0,1.0,0.8137578677406986
147,1.0,8.0,0.1,0.7449451630330611
148,1.0,8.0,0.2,0.7432232355867349
149,1.0,8.0,0.3,0.7357389427610023
150,1.0,8.0,0.4,0.7377074385865483
151,1.0,8.0,0.5,0.7333570205141192
152,1.0,8.0,0.6,0.7419153786506917
153,1.0,8.0,0.7,0.7394948233155071
154,1.0,8.0,0.8,0.7453583385096606
155,1.0,8.0,0.82,0.7500427441141636
156,1.0,8.0,0.84,0.7485817407435658
157,1.0,8.0,0.86,0.7544676772349918
158,1.0,8.0,0.88,0.7555381049093327
159,1.0,8.0,0.9,0.7567482002499292
160,1.0,8.0,0.92,0.759830820391558
161,1.0,8.0,0.94,0.7605426554088025
162,1.0,8.0,0.96,0.7706098303553609
163,1.0,8.0,0.98,0.7779150809858388
164,1.0,8.0,0.99,0.7794685371586213
165,1.0,8.0,0.999,0.7886803172210286
166,1.0,8.0,0.9999,0.793460675812005
167,1.0,8.0,1.0,0.7946060912652478
168,1.0,9.0,0.1,0.716417346065172
169,1.0,9.0,0.2,0.7155491759878376
170,1.0,9.0,0.3,0.7064313738034533
171,1.0,9.0,0.4,0.7097965333982627
172,1.0,9.0,0.5,0.7067327598581411
173,1.0,9.0,0.6,0.7033174217975774
174,1.0,9.0,0.7,0.7108144866925075
175,1.0,9.0,0.8,0.7167258003753959
176,1.0,9.0,0.82,0.7222293472116268
177,1.0,9.0,0.84,0.7251905687568783
178,1.0,9.0,0.86,0.7254390541030599
179,1.0,9.0,0.88,0.7305661947133639
180,1.0,9.0,0.9,0.7295935010700065
181,1.0,9.0,0.92,0.7323513285217679
182,1.0,9.0,0.94,0.7420977439718239
183,1.0,9.0,0.96,0.7455011634624117
184,1.0,9.0,0.98,0.7581919129574757
185,1.0,9.0,0.99,0.7589266074591724
186,1.0,9.0,0.999,0.7649956675293319
187,1.0,9.0,0.9999,0.7759271915948983
188,1.0,9.0,1.0,0.7890325915233471
189,1.0,10.0,0.1,0.7212630093197722
190,1.0,10.0,0.2,0.7127479876187109
191,1.0,10.0,0.3,0.7088648526098897
192,1.0,10.0,0.4,0.7046915527253312
193,1.0,10.0,0.5,0.7019321997321081
194,1.0,10.0,0.6,0.7059688446276702
195,1.0,10.0,0.7,0.7044329237923846
196,1.0,10.0,0.8,0.7093546684613864
197,1.0,10.0,0.82,0.7105069845875848
198,1.0,10.0,0.84,0.7005766756828051
199,1.0,10.0,0.86,0.7076664358619024
200,1.0,10.0,0.88,0.7108886213421483
201,1.0,10.0,0.9,0.7212181703730426
202,1.0,10.0,0.92,0.7203243107205969
203,1.0,10.0,0.94,0.7231432028453073
204,1.0,10.0,0.96,0.7268052611355721
205,1.0,10.0,0.98,0.7336709718935677
206,1.0,10.0,0.99,0.742388613413191
207,1.0,10.0,0.999,0.7537964686085313
208,1.0,10.0,0.9999,0.7573343936949858
209,1.0,10.0,1.0,0.7635367035157531
210,2.0,1.0,0.1,0.9215755298786911
211,2.0,1.0,0.2,0.914969723027337
212,2.0,1.0,0.3,0.9209355868254748
213,2.0,1.0,0.4,0.917427639310118
214,2.0,1.0,0.5,0.9158264720312446
215,2.0,1.0,0.6,0.9135926381731064
216,2.0,1.0,0.7,0.9113931279381624
217,2.0,1.0,0.8,0.9133971716717478
218,2.0,1.0,0.82,0.9101057209029522
219,2.0,1.0,0.84,0.9103244052241282
220,2.0,1.0,0.86,0.9105603935397524
221,2.0,1.0,0.88,0.9110497820014193
222,2.0,1.0,0.9,0.9145281661488256
223,2.0,1.0,0.92,0.9157768756332894
224,2.0,1.0,0.94,0.9125856611194577
225,2.0,1.0,0.96,0.918408938157665
226,2.0,1.0,0.98,0.9241530762882801
227,2.0,1.0,0.99,0.9288705981827463
228,2.0,1.0,0.999,0.9412947012118649
229,2.0,1.0,0.9999,0.9352525954990849
230,2.0,1.0,1.0,0.9368203444816733
231,2.0,2.0,0.1,0.8663815625514661
232,2.0,2.0,0.2,0.8647587041763736
233,2.0,2.0,0.3,0.8579675497626164
234,2.0,2.0,0.4,0.8527854226676118
235,2.0,2.0,0.5,0.8505990306364548
236,2.0,2.0,0.6,0.8532003292303181
237,2.0,2.0,0.7,0.8505942408539016
238,2.0,2.0,0.8,0.8585031932925469
239,2.0,2.0,0.82,0.8533016030367969
240,2.0,2.0,0.84,0.8515709029467993
241,2.0,2.0,0.86,0.8486765811660465
242,2.0,2.0,0.88,0.8537582708116883
243,2.0,2.0,0.9,0.8548192804626917
