,gamma,beta,rho,MaxVNE
0,1.0,1.0,0.1,0.8965926789745844
1,1.0,1.0,0.2,0.8851533018107051
2,1.0,1.0,0.3,0.8758475370608606
3,1.0,1.0,0.4,0.8859452338145054
4,1.0,1.0,0.5,0.8846649369442786
5,1.0,1.0,0.6,0.8879974235108311
6,1.0,1.0,0.7,0.8887844628098628
7,1.0,1.0,0.8,0.8950659377843561
8,1.0,1.0,0.82,0.8679853550819865
9,1.0,1.0,0.84,0.8912489815183993
10,1.0,1.0,0.86,0.8769278948721595
11,1.0,1.0,0.88,0.8705891821057329
12,1.0,1.0,0.9,0.8676078260519289
13,1.0,1.0,0.92,0.8736638644394303
14,1.0,1.0,0.94,0.8815445853017632
15,1.0,1.0,0.96,0.8722190399572302
16,1.0,1.0,0.98,0.887054636201599
17,1.0,1.0,0.99,0.8803524521169869
18,1.0,1.0,0.999,0.8917199684669558
19,1.0,1.0,0.9999,0.8974846900216167
20,1.0,1.0,1.0,0.8947040754536596
21,1.0,2.0,0.1,0.7923074500796708
22,1.0,2.0,0.2,0.8127621895614394
23,1.0,2.0,0.3,0.792218204093934
24,1.0,2.0,0.4,0.7751406885762562
25,1.0,2.0,0.5,0.782874880638207
26,1.0,2.0,0.6,0.785224249634631
27,1.0,2.0,0.7,0.7719615856102329
28,1.0,2.0,0.8,0.777971000776609
29,1.0,2.0,0.82,0.7850156917244465
30,1.0,2.0,0.84,0.7854734273845584
31,1.0,2.0,0.86,0.7671704861923896
32,1.0,2.0,0.88,0.7734333069608234
33,1.0,2.0,0.9,0.7678519958881086
34,1.0,2.0,0.92,0.7679939481345757
35,1.0,2.0,0.94,0.7812821805122954
36,1.0,2.0,0.96,0.7663455447984129
37,1.0,2.0,0.98,0.7974487393042003
38,1.0,2.0,0.99,0.8014596076113768
39,1.0,2.0,0.999,0.8199541397993669
40,1.0,2.0,0.9999,0.8320508982728261
41,1.0,2.0,1.0,0.8259912513837019
42,1.0,3.0,0.1,0.7242171039135098
