,gamma,beta,rho,MaxVNE
0,1.0,1.0,0.1,0.857956921680078
1,1.0,1.0,0.2,0.8565523959478647
2,1.0,1.0,0.3,0.8557373026176702
3,1.0,1.0,0.4,0.856936010564776
4,1.0,1.0,0.5,0.8564740663760194
5,1.0,1.0,0.6,0.854396241809187
6,1.0,1.0,0.7,0.8550315832093414
7,1.0,1.0,0.8,0.8559132522239465
8,1.0,1.0,0.82,0.8560074114675015
9,1.0,1.0,0.84,0.8552268992086481
10,1.0,1.0,0.86,0.8553162064549958
11,1.0,1.0,0.88,0.8556806243575449
12,1.0,1.0,0.9,0.8561734395549039
13,1.0,1.0,0.92,0.8555284030130164
14,1.0,1.0,0.94,0.8565872656544296
15,1.0,1.0,0.96,0.8559973451347817
16,1.0,1.0,0.98,0.856315639923547
17,1.0,1.0,0.99,0.8561427994547567
18,1.0,1.0,0.999,0.8556201935633828
19,1.0,1.0,0.9999,0.8555987285853063
20,1.0,1.0,1.0,0.8555489779904755
21,1.0,2.0,0.1,0.8495304355528529
22,1.0,2.0,0.2,0.8502733909297332
23,1.0,2.0,0.3,0.8494887943322589
24,1.0,2.0,0.4,0.848836632539393
25,1.0,2.0,0.5,0.849289751048163
26,1.0,2.0,0.6,0.8496938138444042
27,1.0,2.0,0.7,0.8494853980522622
28,1.0,2.0,0.8,0.8500570855542193
29,1.0,2.0,0.82,0.8510906949057592
30,1.0,2.0,0.84,0.8505198916560961
31,1.0,2.0,0.86,0.8509100173620645
32,1.0,2.0,0.88,0.850976584172173
33,1.0,2.0,0.9,0.849794664275687
34,1.0,2.0,0.92,0.8510851056338301
35,1.0,2.0,0.94,0.8521919693043635
36,1.0,2.0,0.96,0.8525020465625273
37,1.0,2.0,0.98,0.853742284827685
38,1.0,2.0,0.99,0.8542065943642441
39,1.0,2.0,0.999,0.8553870688282358
40,1.0,2.0,0.9999,0.8555073613604584
41,1.0,2.0,1.0,0.8555489779904757
42,1.0,3.0,0.1,0.8450495680356495
43,1.0,3.0,0.2,0.8455326971121727
44,1.0,3.0,0.3,0.8440015294085413
45,1.0,3.0,0.4,0.8442782430092898
46,1.0,3.0,0.5,0.8444292864988047
47,1.0,3.0,0.6,0.8441516221516854
48,1.0,3.0,0.7,0.8446037302139476
49,1.0,3.0,0.8,0.8446437257235799
50,1.0,3.0,0.82,0.846104072260758
51,1.0,3.0,0.84,0.8465678002331988
52,1.0,3.0,0.86,0.8479290185230174
53,1.0,3.0,0.88,0.8464609175985645
54,1.0,3.0,0.9,0.8486664072846241
55,1.0,3.0,0.92,0.8511517084830847
56,1.0,3.0,0.94,0.8496824021428188
57,1.0,3.0,0.96,0.8514501149821848
58,1.0,3.0,0.98,0.852668955337669
59,1.0,3.0,0.99,0.8543061037950501
60,1.0,3.0,0.999,0.8554344258743314
61,1.0,3.0,0.9999,0.855539205373823
62,1.0,3.0,1.0,0.8555489779904751
63,1.0,4.0,0.1,0.8440557583212275
64,1.0,4.0,0.2,0.8433503939755607
65,1.0,4.0,0.3,0.8422239106257234
66,1.0,4.0,0.4,0.8425613713287826
67,1.0,4.0,0.5,0.8425441928033551
68,1.0,4.0,0.6,0.8433126342034519
69,1.0,4.0,0.7,0.8416601482808772
70,1.0,4.0,0.8,0.8431638878286278
71,1.0,4.0,0.82,0.8449336518927301
72,1.0,4.0,0.84,0.8445963028985245
73,1.0,4.0,0.86,0.8453890949994752
74,1.0,4.0,0.88,0.8456502697300464
75,1.0,4.0,0.9,0.8454289788549384
76,1.0,4.0,0.92,0.8462034446505148
77,1.0,4.0,0.94,0.8483334219527973
78,1.0,4.0,0.96,0.8479167401091132
79,1.0,4.0,0.98,0.8507430637343695
80,1.0,4.0,0.99,0.8515963686162362
81,1.0,4.0,0.999,0.8545699675424371
82,1.0,4.0,0.9999,0.855472027297981
83,1.0,4.0,1.0,0.8555489779904751
84,1.0,5.0,0.1,0.8399352164086913
85,1.0,5.0,0.2,0.8387499512776655
86,1.0,5.0,0.3,0.8375569287846326
87,1.0,5.0,0.4,0.8372872864849811
88,1.0,5.0,0.5,0.8357852882618565
89,1.0,5.0,0.6,0.83723760196197
90,1.0,5.0,0.7,0.83727726976063
91,1.0,5.0,0.8,0.8380055629209815
92,1.0,5.0,0.82,0.8392687780181908
93,1.0,5.0,0.84,0.8396435249980396
94,1.0,5.0,0.86,0.8397953575062806
95,1.0,5.0,0.88,0.8402729918011341
96,1.0,5.0,0.9,0.8415693983932298
97,1.0,5.0,0.92,0.843120409810303
98,1.0,5.0,0.94,0.8429606164411197
99,1.0,5.0,0.96,0.8448600887694753
100,1.0,5.0,0.98,0.8468544534686074
101,1.0,5.0,0.99,0.8480902822736275
102,1.0,5.0,0.999,0.8518480287401662
103,1.0,5.0,0.9999,0.8537183669056317
104,1.0,5.0,1.0,0.8555489779904755
105,1.0,6.0,0.1,0.8311813937663475
106,1.0,6.0,0.2,0.8296822051054985
107,1.0,6.0,0.3,0.8287414753939152
108,1.0,6.0,0.4,0.8286107326058989
109,1.0,6.0,0.5,0.8280640713508556
110,1.0,6.0,0.6,0.827515026751589
111,1.0,6.0,0.7,0.8291360206601761
112,1.0,6.0,0.8,0.831388290913512
113,1.0,6.0,0.82,0.8315608054604661
114,1.0,6.0,0.84,0.8333397978115654
115,1.0,6.0,0.86,0.8327421771889078
116,1.0,6.0,0.88,0.833729649230343
117,1.0,6.0,0.9,0.8343109485636961
118,1.0,6.0,0.92,0.8366139781834286
119,1.0,6.0,0.94,0.8371649222126183
120,1.0,6.0,0.96,0.8399243469275918
121,1.0,6.0,0.98,0.8439673320110793
122,1.0,6.0,0.99,0.8466487292427207
123,1.0,6.0,0.999,0.8512267689238928
124,1.0,6.0,0.9999,0.8522770569953089
125,1.0,6.0,1.0,0.8555489779904751
126,1.0,7.0,0.1,0.8284551119450715
127,1.0,7.0,0.2,0.8241040022043222
128,1.0,7.0,0.3,0.8242313939668466
129,1.0,7.0,0.4,0.8239668193932732
130,1.0,7.0,0.5,0.8261046083201177
131,1.0,7.0,0.6,0.8255998841227885
132,1.0,7.0,0.7,0.8253201153339861
133,1.0,7.0,0.8,0.8279592533692157
134,1.0,7.0,0.82,0.8273065917962095
135,1.0,7.0,0.84,0.8284927400071735
136,1.0,7.0,0.86,0.8296477721788873
137,1.0,7.0,0.88,0.8304285506550184
138,1.0,7.0,0.9,0.8301420856717117
139,1.0,7.0,0.92,0.8331683383403099
140,1.0,7.0,0.94,0.8343175169273018
141,1.0,7.0,0.96,0.8364297468475301
142,1.0,7.0,0.98,0.839898629267936
143,1.0,7.0,0.99,0.8417407085870275
144,1.0,7.0,0.999,0.8467257646048143
145,1.0,7.0,0.9999,0.8496480000935454
146,1.0,7.0,1.0,0.8555489779904751
147,1.0,8.0,0.1,0.8271154235114792
148,1.0,8.0,0.2,0.826560879215493
149,1.0,8.0,0.3,0.824562873019109
150,1.0,8.0,0.4,0.8232404556594201
151,1.0,8.0,0.5,0.8236646725928192
152,1.0,8.0,0.6,0.8256723313551081
153,1.0,8.0,0.7,0.8256730566045419
154,1.0,8.0,0.8,0.8266846027019085
155,1.0,8.0,0.82,0.8281099872678024
156,1.0,8.0,0.84,0.8273161473404838
157,1.0,8.0,0.86,0.8307903578951128
158,1.0,8.0,0.88,0.8290672687886977
159,1.0,8.0,0.9,0.8309664452734342
160,1.0,8.0,0.92,0.8320342986991537
161,1.0,8.0,0.94,0.8333647713314313
162,1.0,8.0,0.96,0.8357954022372021
163,1.0,8.0,0.98,0.8390342581760797
164,1.0,8.0,0.99,0.840730963389545
165,1.0,8.0,0.999,0.8456883627475701
166,1.0,8.0,0.9999,0.8486790802240586
167,1.0,8.0,1.0,0.8555489779904755
168,1.0,9.0,0.1,0.8201718838460881
169,1.0,9.0,0.2,0.819065434364814
170,1.0,9.0,0.3,0.8161219645217777
171,1.0,9.0,0.4,0.8159831997613824
172,1.0,9.0,0.5,0.8161136086018512
173,1.0,9.0,0.6,0.8148488852435234
174,1.0,9.0,0.7,0.817606279651423
175,1.0,9.0,0.8,0.8185876156525491
176,1.0,9.0,0.82,0.8210671335631995
177,1.0,9.0,0.84,0.8205527962916707
178,1.0,9.0,0.86,0.8230467065769369
179,1.0,9.0,0.88,0.8223345666984991
180,1.0,9.0,0.9,0.8241443391438658
181,1.0,9.0,0.92,0.8258570880177298
182,1.0,9.0,0.94,0.8286824565880722
183,1.0,9.0,0.96,0.8309916043538274
184,1.0,9.0,0.98,0.8344288703463029
185,1.0,9.0,0.99,0.8355388049608798
186,1.0,9.0,0.999,0.8410077917800649
187,1.0,9.0,0.9999,0.843190587051979
188,1.0,9.0,1.0,0.8555489779904755
189,1.0,10.0,0.1,0.8201731718759954
190,1.0,10.0,0.2,0.8195333819386506
191,1.0,10.0,0.3,0.8184863313367049
192,1.0,10.0,0.4,0.8170594100450959
193,1.0,10.0,0.5,0.8160906774537463
194,1.0,10.0,0.6,0.814735895006586
195,1.0,10.0,0.7,0.8159547748090927
196,1.0,10.0,0.8,0.8181240235914636
197,1.0,10.0,0.82,0.8177165886366888
198,1.0,10.0,0.84,0.8157851584937931
199,1.0,10.0,0.86,0.8172404144362616
200,1.0,10.0,0.88,0.8196746691060917
201,1.0,10.0,0.9,0.8201499291843113
202,1.0,10.0,0.92,0.8208611067876264
203,1.0,10.0,0.94,0.8225149510919464
204,1.0,10.0,0.96,0.8239196723907066
205,1.0,10.0,0.98,0.826826955977512
206,1.0,10.0,0.99,0.8283141690423065
207,1.0,10.0,0.999,0.8351748486364113
208,1.0,10.0,0.9999,0.8390340759824214
209,1.0,10.0,1.0,0.8445134921169211
